occupation_socp,occupation_socp_category_code,occupation_socp_description,occupation_socp_label
211013,CMS,Marriage And Family Therapists,CMS-Marriage And Family Therapists
211014,CMS,Mental Health Counselors,CMS-Mental Health Counselors
211015,CMS,Rehabilitation Counselors,CMS-Rehabilitation Counselors
211019,CMS,"Counselors, All Other","CMS-Counselors, All Other"
211021,CMS,"Child, Family, And School Social Workers","CMS-Child, Family, And School Social Workers"
211022,CMS,Healthcare Social Workers,CMS-Healthcare Social Workers
211023,CMS,Mental Health And Substance Abuse Social Workers,CMS-Mental Health And Substance Abuse Social Workers
211029,CMS,"Social Workers, All Other","CMS-Social Workers, All Other"
211092,CMS,Probation Officers And Correctional Treatment Specialists,CMS-Probation Officers And Correctional Treatment Specialists
211093,CMS,Social And Human Service Assistants,CMS-Social And Human Service Assistants
21109X,CMS,Other Community And Social Service Specialists,CMS-Other Community And Social Service Specialists
212011,CMS,Clergy,CMS-Clergy
212021,CMS,"Directors, Religious Activities And Education","CMS-Directors, Religious Activities And Education"
212099,CMS,"Religious Workers, All Other","CMS-Religious Workers, All Other"
231012,LGL,Judicial Law Clerks,LGL-Judicial Law Clerks
2310XX,LGL,"Lawyers, And Judges, Magistrates, And Other Judicial Workers","LGL-Lawyers, And Judges, Magistrates, And Other Judicial Workers"
232011,LGL,Paralegals And Legal Assistants,LGL-Paralegals And Legal Assistants
232093,LGL,"Title Examiners, Abstractors, And Searchers","LGL-Title Examiners, Abstractors, And Searchers"
232099,LGL,"Legal Support Workers, All Other","LGL-Legal Support Workers, All Other"
251000,EDU,Postsecondary Teachers,EDU-Postsecondary Teachers
252010,EDU,Preschool And Kindergarten Teachers,EDU-Preschool And Kindergarten Teachers
252020,EDU,Elementary And Middle School Teachers,EDU-Elementary And Middle School Teachers
252030,EDU,Secondary School Teachers,EDU-Secondary School Teachers
252050,EDU,Special Education Teachers,EDU-Special Education Teachers
253041,EDU,Tutors,EDU-Tutors
2530XX,EDU,Other Teachers And Instructors,EDU-Other Teachers And Instructors
254010,EDU,"Archivists, Curators, And Museum Technicians","EDU-Archivists, Curators, And Museum Technicians"
254022,EDU,Librarians And Media Collections Specialists,EDU-Librarians And Media Collections Specialists
254031,EDU,Library Technicians,EDU-Library Technicians
259040,EDU,Teaching Assistants,EDU-Teaching Assistants
2590XX,EDU,Other Educational Instruction and Library Workers,EDU-Other Educational Instruction and Library Workers
271010,ENT,Artists And Related Workers,ENT-Artists And Related Workers
271021,ENT,Commercial And Industrial Designers,ENT-Commercial And Industrial Designers
271022,ENT,Fashion Designers,ENT-Fashion Designers
271023,ENT,Floral Designers,ENT-Floral Designers
271024,ENT,Graphic Designers,ENT-Graphic Designers
271025,ENT,Interior Designers,ENT-Interior Designers
271026,ENT,Merchandise Displayers And Window Trimmers,ENT-Merchandise Displayers And Window Trimmers
27102X,ENT,Other Designers,ENT-Other Designers
272011,ENT,Actors,ENT-Actors
272012,ENT,Producers And Directors,ENT-Producers And Directors
272021,ENT,Athletes And Sports Competitors,ENT-Athletes And Sports Competitors
272022,ENT,Coaches And Scouts,ENT-Coaches And Scouts
272023,ENT,"Umpires, Referees, And Other Sports Officials","ENT-Umpires, Referees, And Other Sports Officials"
272030,ENT,Dancers And Choreographers,ENT-Dancers And Choreographers
272041,ENT,Music Directors And Composers,ENT-Music Directors And Composers
272042,ENT,Musicians And Singers,ENT-Musicians And Singers
272091,ENT,"Disc Jockeys, Except Radio","ENT-Disc Jockeys, Except Radio"
272099,ENT,"Entertainers And Performers, Sports And Related Workers, All Other","ENT-Entertainers And Performers, Sports And Related Workers, All Other"
273011,ENT,Broadcast Announcers And Radio Disc Jockeys,ENT-Broadcast Announcers And Radio Disc Jockeys
273023,ENT,"News Analysts, Reporters, And Journalists","ENT-News Analysts, Reporters, And Journalists"
273031,ENT,Public Relations Specialists,ENT-Public Relations Specialists
